"","src_subject_id","eventname","reshist_addr1_adi_wsum","reshist_addr1_adi_perc"
"4773","NDAR_INVDM4EXUCD","baseline_year_1_arm_1",17.561037,1
"4774","NDAR_INVDRRTEW06","baseline_year_1_arm_1",78.98752,13
"4775","NDAR_INVDWDV4K53","baseline_year_1_arm_1",101.6921,39
"4776","NDAR_INVDHDLJ5CV","baseline_year_1_arm_1",117.39521,91
"4777","NDAR_INVDHJNAJ5Y","baseline_year_1_arm_1",113.90118,78
"4778","NDAR_INVDMD17V8N","baseline_year_1_arm_1",109.96379,63
"4779","NDAR_INVDML4KVG0","baseline_year_1_arm_1",100.99794,38
"4780","NDAR_INVDT71ACZT","baseline_year_1_arm_1",95.01136,28
"4781","NDAR_INVDT744K7Y","baseline_year_1_arm_1",87.6249,19
"4782","NDAR_INVDT85NUFE","baseline_year_1_arm_1",52.338203,4
"4783","NDAR_INVDWGT6R32","baseline_year_1_arm_1",66.82465,7
"4784","NDAR_INVDWJKX2YR","baseline_year_1_arm_1",56.880608,5
"4785","NDAR_INVDHJV77RB","baseline_year_1_arm_1",90.07199,22
"4786","NDAR_INVDHL2ZT1M","baseline_year_1_arm_1",109.65033,62
"4787","NDAR_INVDMMAKV5Y","baseline_year_1_arm_1",106.64372,52
"4788","NDAR_INVDMT3XG3K","baseline_year_1_arm_1",112.76503,73
"4789","NDAR_INVDTAY6VX0","baseline_year_1_arm_1",110.258705,64
"4790","NDAR_INVDTHBFTNZ","baseline_year_1_arm_1",118.406075,94
"4791","NDAR_INVDWKHJ8MG","baseline_year_1_arm_1",76.61991,11
"4792","NDAR_INVDWM6KEW3","baseline_year_1_arm_1",NA,NA
"4793","NDAR_INVDHPX2Z6Y","baseline_year_1_arm_1",115.146515,83
"4794","NDAR_INVDHPZGW4T","baseline_year_1_arm_1",79.19403,13
"4795","NDAR_INVDMW1F5TW","baseline_year_1_arm_1",81.80873,14
"4796","NDAR_INVDMWULU1K","baseline_year_1_arm_1",106.6232,52
"4797","NDAR_INVDTHJM3Y9","baseline_year_1_arm_1",96.750946,30
"4798","NDAR_INVDTKLRD8X","baseline_year_1_arm_1",91.664986,24
"4799","NDAR_INVDWP48R1X","baseline_year_1_arm_1",121.19263,99
"4800","NDAR_INVDWR71C3N","baseline_year_1_arm_1",117.24515,90
"4801","NDAR_INVDHR25U4H","baseline_year_1_arm_1",93.07319,25
"4802","NDAR_INVDHRF3CYT","baseline_year_1_arm_1",65.400345,7
"4803","NDAR_INVDMXMW991","baseline_year_1_arm_1",101.62878,39
"4804","NDAR_INVDN2W0CYG","baseline_year_1_arm_1",NA,NA
"4805","NDAR_INVDEVYGDL7","baseline_year_1_arm_1",112.73602,73
"4806","NDAR_INVDF21C95K","baseline_year_1_arm_1",113.48578,76
"4807","NDAR_INVD69WPF6G","baseline_year_1_arm_1",95.73495,29
"4808","NDAR_INVD6AR573N","baseline_year_1_arm_1",76.531555,11
"4809","NDAR_INVD9KW5TPY","baseline_year_1_arm_1",19.236448,2
"4810","NDAR_INVD9L81NY5","baseline_year_1_arm_1",110.78391,66
"4811","NDAR_INVD9LT4A11","baseline_year_1_arm_1",100.76403,37
"4812","NDAR_INVDBJ78DCD","baseline_year_1_arm_1",100.66505,37
"4813","NDAR_INVDBKJ96UF","baseline_year_1_arm_1",50.363594,4
"4814","NDAR_INVDF4CFND3","baseline_year_1_arm_1",61.398453,6
"4815","NDAR_INVDF9702P2","baseline_year_1_arm_1",51.516785,4
"4816","NDAR_INVD6E70E57","baseline_year_1_arm_1",111.659584,69
"4817","NDAR_INVD6F6W39J","baseline_year_1_arm_1",108.13719,57
"4818","NDAR_INVD9WZ5K8Y","baseline_year_1_arm_1",102.63108,41
"4819","NDAR_INVDBNVP9UD","baseline_year_1_arm_1",91.95342,24
"4820","NDAR_INVDBVY4B8K","baseline_year_1_arm_1",87.982086,20
"4821","NDAR_INVDF9XM4YB","baseline_year_1_arm_1",112.50271,72
"4822","NDAR_INVDFB4NL0N","baseline_year_1_arm_1",111.84467,70
"4823","NDAR_INVDFHXELP0","baseline_year_1_arm_1",114.2908,79
"4824","NDAR_INVD6PPNY0N","baseline_year_1_arm_1",51.713295,4
"4825","NDAR_INVD9XWPRMX","baseline_year_1_arm_1",112.952675,74
"4826","NDAR_INVD9ZEJ36L","baseline_year_1_arm_1",NA,NA
"4827","NDAR_INVDC5LMY0K","baseline_year_1_arm_1",99.01714,34
"4828","NDAR_INVDCE53AYC","baseline_year_1_arm_1",107.67248,55
"4829","NDAR_INVDFNR4UMM","baseline_year_1_arm_1",103.98543,44
"4830","NDAR_INVDFY7YYM9","baseline_year_1_arm_1",101.59499,39
"4831","NDAR_INVD6X8GC05","baseline_year_1_arm_1",104.3739,45
"4832","NDAR_INVD76PJ8X7","baseline_year_1_arm_1",104.096596,45
"4833","NDAR_INVDA6VVDEG","baseline_year_1_arm_1",NA,NA
"4834","NDAR_INVDACXYF2G","baseline_year_1_arm_1",85.56786,17
