"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"177","NDAR_INV0DMRP60R","baseline_year_1_arm_1",0.3303
"178","NDAR_INV0DUXE0ZA","baseline_year_1_arm_1",0.5651
"179","NDAR_INV0DVK13LU","baseline_year_1_arm_1",0.8673
"180","NDAR_INV0DWBRWHT","baseline_year_1_arm_1",0.2502
"181","NDAR_INV0FAET6YA","baseline_year_1_arm_1",0.3061
"182","NDAR_INV0FBX6KWX","baseline_year_1_arm_1",0.5827
"183","NDAR_INV0FCEX8C6","baseline_year_1_arm_1",0.5633
"184","NDAR_INV0FM9MUTU","baseline_year_1_arm_1",0.6723
"185","NDAR_INV0FUC15ZB","baseline_year_1_arm_1",0.578
"186","NDAR_INV0FV544H9","baseline_year_1_arm_1",NA
"187","NDAR_INV0FZ26GB1","baseline_year_1_arm_1",0.2286
"188","NDAR_INV0FZ2J7TT","baseline_year_1_arm_1",0.2249
"189","NDAR_INV0G2N59GL","baseline_year_1_arm_1",0.663
"190","NDAR_INV0G37YGY1","baseline_year_1_arm_1",0.458
"191","NDAR_INV0F4JDC6B","baseline_year_1_arm_1",0.4537
"192","NDAR_INV0F78WV5U","baseline_year_1_arm_1",0.5268
"193","NDAR_INV0F82C6R8","baseline_year_1_arm_1",0.197
"194","NDAR_INV0F959U85","baseline_year_1_arm_1",0.3249
"195","NDAR_INV0G42TBW1","baseline_year_1_arm_1",0.2331
"196","NDAR_INV0G9MD8JA","baseline_year_1_arm_1",0.5805
"197","NDAR_INV0GVW93X6","baseline_year_1_arm_1",0.148
"198","NDAR_INV0GWJ7GFF","baseline_year_1_arm_1",0.2116
"199","NDAR_INV0GZ334XA","baseline_year_1_arm_1",0.1937
"200","NDAR_INV0GZM9UZJ","baseline_year_1_arm_1",0.2395
"201","NDAR_INV0GZN1747","baseline_year_1_arm_1",0.3711
"202","NDAR_INV0H05G0TR","baseline_year_1_arm_1",0.5387
"203","NDAR_INV0H2AWWPU","baseline_year_1_arm_1",0.0603
"204","NDAR_INV0HALXUFY","baseline_year_1_arm_1",0.0648
"205","NDAR_INV0HB853U9","baseline_year_1_arm_1",0.9846
"206","NDAR_INV0GGJJ4H9","baseline_year_1_arm_1",0.9244
"207","NDAR_INV0GND16RW","baseline_year_1_arm_1",0.8029
"208","NDAR_INV0GPKYMDC","baseline_year_1_arm_1",0.0862
"209","NDAR_INV0GUTM6AM","baseline_year_1_arm_1",0.379
"210","NDAR_INV0HVEVD01","baseline_year_1_arm_1",0.4201
"211","NDAR_INV0HXXANFJ","baseline_year_1_arm_1",0.1895
"212","NDAR_INV0J1M2ETU","baseline_year_1_arm_1",0.059
"213","NDAR_INV0J2UAG61","baseline_year_1_arm_1",0.6615
"214","NDAR_INV0J6LY05U","baseline_year_1_arm_1",0.1939
"215","NDAR_INV0J6UAD2Y","baseline_year_1_arm_1",0.3331
"216","NDAR_INV0J9U5XRJ","baseline_year_1_arm_1",0.8818
"217","NDAR_INV0JAG7BGC","baseline_year_1_arm_1",0.699
